tic_id,file,class,confidence,snr,period,depth_pct
234345487,tess2018206045859-s0001-0000000234345487-0120-s_lc.fits,Planet Transit,55.9,0.74,6.94403,0.076
234507537,tess2018206045859-s0001-0000000234507537-0120-s_lc.fits,Planet Transit,98.9,0.81,4.11364,0.0592
235004002,tess2018206045859-s0001-0000000235004002-0120-s_lc.fits,Planet Transit,50.8,0.23,0.59494,0.0327
237865115,tess2018206045859-s0001-0000000237865115-0120-s_lc.fits,Planet Transit,98.7,0.59,16.81182,0.0467
238867090,tess2018206045859-s0001-0000000238867090-0120-s_lc.fits,Planet Transit,94.3,0.55,13.14478,0.0399
253929725,tess2018206045859-s0001-0000000253929725-0120-s_lc.fits,Planet Transit,96.8,4.19,27.57561,0.1101
259976396,tess2018206045859-s0001-0000000259976396-0120-s_lc.fits,Planet Transit,82.8,0.65,22.74555,0.0398
260368246,tess2018206045859-s0001-0000000260368246-0120-s_lc.fits,Planet Transit,95.4,1.0,10.29065,0.0719
260606294,tess2018206045859-s0001-0000000260606294-0120-s_lc.fits,Eclipsing Binary,45.4,0.39,4.16704,1.7829
260967812,tess2018206045859-s0001-0000000260967812-0120-s_lc.fits,Planet Transit,83.8,0.72,5.60004,0.0243
260994454,tess2018206045859-s0001-0000000260994454-0120-s_lc.fits,Other/Noise,70.1,1.0,8.81315,0.1946
261748427,tess2018206045859-s0001-0000000261748427-0120-s_lc.fits,Planet Transit,77.6,0.26,0.79075,0.0049
266540642,tess2018206045859-s0001-0000000266540642-0120-s_lc.fits,Planet Transit,83.0,-0.02,27.41243,0.2983
266541992,tess2018206045859-s0001-0000000266541992-0120-s_lc.fits,Planet Transit,97.5,2.02,17.92439,0.1405
267044448,tess2018206045859-s0001-0000000267044448-0120-s_lc.fits,Planet Transit,73.5,0.59,5.38643,0.0521
267081284,tess2018206045859-s0001-0000000267081284-0120-s_lc.fits,Planet Transit,99.3,0.52,5.25588,0.0145
267116163,tess2018206045859-s0001-0000000267116163-0120-s_lc.fits,Planet Transit,85.6,0.0,23.19355,0.5736
270201625,tess2018206045859-s0001-0000000270201625-0120-s_lc.fits,Other/Noise,65.7,0.91,16.48547,0.7624
270504074,tess2018206045859-s0001-0000000270504074-0120-s_lc.fits,Planet Transit,85.9,0.58,4.44,0.0652
270554742,tess2018206045859-s0001-0000000270554742-0120-s_lc.fits,Planet Transit,98.6,0.73,15.68738,0.0921
273792097,tess2018206045859-s0001-0000000273792097-0120-s_lc.fits,Planet Transit,98.8,0.74,5.4695,0.0398
276936239,tess2018206045859-s0001-0000000276936239-0120-s_lc.fits,Other/Noise,67.4,0.47,14.4858,0.7851
278830070,tess2018206045859-s0001-0000000278830070-0120-s_lc.fits,Planet Transit,98.5,0.66,13.91319,0.0465
278991073,tess2018206045859-s0001-0000000278991073-0120-s_lc.fits,Planet Transit,85.9,-0.4,9.90793,0.057
280868464,tess2018206045859-s0001-0000000280868464-0120-s_lc.fits,Other/Noise,59.2,-0.15,21.5321,0.4429
284073126,tess2018206045859-s0001-0000000284073126-0120-s_lc.fits,Planet Transit,59.4,0.1,0.63351,0.0151
287148985,tess2018206045859-s0001-0000000287148985-0120-s_lc.fits,Planet Transit,98.6,1.34,21.9445,0.0655
290403989,tess2018206045859-s0001-0000000290403989-0120-s_lc.fits,Other/Noise,48.5,1.03,14.11494,1.7179
294399641,tess2018206045859-s0001-0000000294399641-0120-s_lc.fits,Other/Noise,84.0,0.86,7.73025,0.3706
299899313,tess2018206045859-s0001-0000000299899313-0120-s_lc.fits,Planet Transit,69.2,0.42,8.76272,0.1357
300164495,tess2018206045859-s0001-0000000300164495-0120-s_lc.fits,Planet Transit,98.4,0.54,2.38099,0.0855
300327924,tess2018206045859-s0001-0000000300327924-0120-s_lc.fits,Eclipsing Binary,41.7,-0.01,8.12781,0.0419
300328258,tess2018206045859-s0001-0000000300328258-0120-s_lc.fits,Planet Transit,98.9,0.95,1.79355,0.0238
300556811,tess2018206045859-s0001-0000000300556811-0120-s_lc.fits,Planet Transit,95.8,0.25,8.96446,0.0816
300560295,tess2018206045859-s0001-0000000300560295-0120-s_lc.fits,Planet Transit,97.3,10.93,10.29659,1.8286
300809119,tess2018206045859-s0001-0000000300809119-0120-s_lc.fits,Planet Transit,45.5,0.19,4.73668,0.0317
302751818,tess2018206045859-s0001-0000000302751818-0120-s_lc.fits,Planet Transit,98.7,0.83,16.23032,0.0787
302751936,tess2018206045859-s0001-0000000302751936-0120-s_lc.fits,Planet Transit,98.9,1.76,18.75808,0.2366
308920920,tess2018206045859-s0001-0000000308920920-0120-s_lc.fits,Planet Transit,99.0,0.01,14.36119,0.8587
309790097,tess2018206045859-s0001-0000000309790097-0120-s_lc.fits,Planet Transit,84.6,0.46,7.12204,0.08
320965223,tess2018206045859-s0001-0000000320965223-0120-s_lc.fits,Planet Transit,75.0,0.4,1.36039,0.0216
325093686,tess2018206045859-s0001-0000000325093686-0120-s_lc.fits,Planet Transit,72.4,0.1,0.81745,0.0042
325206126,tess2018206045859-s0001-0000000325206126-0120-s_lc.fits,Eclipsing Binary,36.4,0.1,8.24945,1.117
325220064,tess2018206045859-s0001-0000000325220064-0120-s_lc.fits,Planet Transit,69.5,0.27,1.22688,0.0827
325372383,tess2018206045859-s0001-0000000325372383-0120-s_lc.fits,Planet Transit,97.1,-0.88,27.79812,0.13
349153143,tess2018206045859-s0001-0000000349153143-0120-s_lc.fits,Planet Transit,90.0,0.26,0.62461,0.0315
